iso3,year,intentional_homicides
IRL,2012,1.10866383834203
IRL,2011,0.917110164037163
IRL,2010,1.1844494941962
IRL,2009,1.1690096855761
IRL,2008,1.13687038975372
IRL,2007,1.77534469569112
IRL,2006,1.4524064559467
IRL,2005,1.25141867559474
IRL,2004,0.737814168958707
IRL,2003,0.926636672021959
IRL,2002,1.32367963592701
IRL,2001,1.34611068498654
IRL,2000,0.973022299304289
IRL,1999,1.01254017686146
IRL,1998,1.02396247339213
IRL,1997,1.03477596079288
IRL,1996,1.15431898065939
IRL,1995,1.19090580018207
IRL,1994,0.696348473945356
IRL,1993,0.643154791698941
IRL,1992,0.702558803469292
IRL,1991,0.650772721871057
IRL,1990,0.483776690956051
IMN,2015,1.19627241515438
IMN,2014,3.57600500640701
IMN,2013,2.37694835485462
IMN,2012,2.37150869454375
IMN,2011,1.18507984475454
ISR,2022,1.62581066709758
ISR,2021,1.9344902218508
ISR,2020,1.67038317453709
ISR,2019,1.6402012873501
ISR,2018,1.45709789694358
ISR,2017,1.62644474784814
ISR,2016,1.33982857867757
ISR,2015,1.49014483400625
ISR,2014,1.63349469475113
ISR,2013,1.69045803541161
ISR,2012,1.68248807914477
ISR,2011,1.9676021588745
ISR,2010,2.04450617338639
ISR,2009,1.99830809914273
ISR,2008,1.69428815224534
ISR,2007,1.93897123931142
ISR,2006,2.23552448582389
ISR,2005,2.51181369892658
ISR,2004,2.40359632431166
ISR,2003,2.62962837661199
ISR,2002,3.2562481805909
ISR,2001,3.0830759577264
ISR,2000,2.51996726333437
ISR,1999,2.30403876974084
ISR,1998,2.53879871643864
ISR,1997,2.7627866103318
ISR,1996,2.12744621084101
ISR,1995,2.09160540706143
ISR,1994,2.68368917933648
ISR,1993,2.77229163328284
ISR,1992,3.00570599999435
ISR,1991,2.3431504012802
ISR,1990,3.23432414396571
ITA,2023,0.568072449338316
ITA,2022,0.540095240763765
ITA,2021,0.50728829294141
ITA,2020,0.475691584209703
ITA,2019,0.527189893600108
ITA,2018,0.595578796289962
ITA,2017,0.622616360456986
ITA,2016,0.668010320924807
ITA,2015,0.774242762514025
ITA,2014,0.782999237037301
ITA,2013,0.827647126909968
ITA,2012,0.87557696185202
ITA,2011,0.914393555930683
ITA,2010,0.879260233986606
ITA,2009,0.984909015398894
ITA,2008,1.03254300197422
ITA,2007,1.06752438557289
ITA,2006,1.06374952167439
ITA,2005,1.04238414237751
ITA,2002,1.12154817534866
ITA,2001,1.23722291409081
ITA,2000,1.33747271243561
ITA,1999,1.43079765038568
ITA,1998,1.55378306019741
ITA,1997,1.52651001019431
ITA,1996,1.66718882215848
ITA,1995,1.76296351100176
ITA,1994,1.68756125246512
ITA,1993,1.87333513571146
ITA,1992,2.58380791474806
ITA,1991,3.39550878435906
ITA,1990,3.14563261130983
JAM,2023,49.4403451527686
JAM,2022,53.1146007388142
JAM,2021,51.9438139904003
JAM,2020,47.0901768054208
JAM,2019,47.462677157099
JAM,2018,45.7076395408315
JAM,2017,58.4921283339315
JAM,2016,48.1865109798695
JAM,2015,43.1395301537823
JAM,2014,35.9731672387176
JAM,2013,43.1801420202774
JAM,2012,39.7485238581317
JAM,2011,41.0433859018324
JAM,2010,52.6456053926273
JAM,2009,61.4907955622864
JAM,2008,59.3990133306575
JAM,2007,58.3683288436272
JAM,2006,49.611852049312
JAM,2005,62.2984441577624
JAM,2004,55.0477598256135
JAM,2003,36.7007287070841
JAM,2002,39.5747662958568
JAM,2001,43.4003466693187
JAM,2000,34.0130054689232
JAM,1999,32.975583009466
JAM,1998,33.4275583172746
