iso3,year,asylum_seekers
CRI,2025,178212
CRI,2024,217889
CRI,2023,193718
CRI,2022,239640
CRI,2021,152507
CRI,2020,89744
CRI,2019,87154
CRI,2018,32595
CRI,2017,7428
CRI,2016,3626
CRI,2015,3259
CRI,2014,1751
CRI,2013,593
CRI,2012,624
CRI,2011,451
CRI,2010,377
CRI,2009,575
CRI,2008,441
CRI,2007,503
CRI,2006,332
CRI,2005,223
CRI,2004,223
CRI,2003,79
CRI,2002,85
CRI,2001,2588
CRI,2000,1089
CIV,2025,8177
CIV,2024,66799
CIV,2023,37460
CIV,2022,3561
CIV,2021,129
CIV,2020,224
CIV,2019,151
CIV,2018,198
CIV,2017,368
CIV,2016,276
CIV,2015,644
CIV,2014,660
CIV,2013,596
CIV,2012,508
CIV,2011,659
CIV,2010,246
CIV,2009,217
CIV,2008,293
CIV,2007,1770
CIV,2006,2301
CIV,2005,2436
CIV,2004,2102
CIV,2003,1318
CIV,2002,1139
CIV,2001,2321
CIV,2000,2239
HRV,2025,434
HRV,2024,1220
HRV,2023,1597
HRV,2022,1200
HRV,2021,562
HRV,2020,567
HRV,2019,454
HRV,2018,198
HRV,2017,406
HRV,2016,529
HRV,2015,30
HRV,2014,87
HRV,2013,189
HRV,2012,329
HRV,2011,219
HRV,2010,64
HRV,2009,26
HRV,2008,52
HRV,2007,46
HRV,2006,8
HRV,2005,6
HRV,2004,26
HRV,2003,59
HRV,2002,49
HRV,2001,63
HRV,2000,17
CUB,2025,40
CUB,2024,41
CUB,2023,25
CUB,2022,8
CUB,2021,14
CUB,2020,10
CUB,2019,32
CUB,2018,24
CUB,2017,15
CUB,2016,28
CUB,2015,23
CUB,2014,6
CUB,2013,0
CUB,2012,5
CUB,2011,0
CUB,2010,11
CUB,2009,0
CUB,2008,6
CUB,2007,9
CUB,2006,20
CUB,2005,26
CUB,2004,0
CUB,2003,5
CUB,2002,0
CUB,2001,12
CUB,2000,12
CUW,2025,0
CUW,2024,0
CUW,2023,0
CUW,2022,0
CUW,2021,0
CUW,2020,318
CUW,2019,345
CUW,2018,342
CUW,2017,729
CUW,2016,55
CUW,2015,34
CUW,2014,40
CUW,2013,45
CUW,2012,24
CUW,2011,5
CUW,2010,0
CYP,2025,23162
CYP,2024,27553
CYP,2023,31664
CYP,2022,36497
CYP,2021,25336
CYP,2020,20483
CYP,2019,18799
CYP,2018,10267
CYP,2017,5216
CYP,2016,3049
CYP,2015,2210
CYP,2014,2436
CYP,2013,2629
CYP,2012,2624
CYP,2011,3042
CYP,2010,5385
CYP,2009,5003
CYP,2008,8003
CYP,2007,11879
CYP,2006,12491
CYP,2005,13054
CYP,2004,9995
CYP,2003,5065
CYP,2002,2026
CYP,2001,1855
CYP,2000,488
CZE,2025,993
CZE,2024,1065
CZE,2023,1239
CZE,2022,986
CZE,2021,1073
CZE,2020,1537
CZE,2019,1632
CZE,2018,1910
CZE,2017,799
CZE,2016,769
CZE,2015,654
CZE,2014,459
CZE,2013,292
CZE,2012,566
CZE,2011,909
CZE,2010,1031
CZE,2009,1235
CZE,2008,1422
CZE,2007,2180
CZE,2006,2874
CZE,2005,923
CZE,2004,1113
CZE,2003,3737
